Request_ID,Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,0,8,1,[1. 1. 1.],0,1.0,0.8674611385104841,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,1,0,1,[1. 1. 1.],0,1.0,0.8381888003729958,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,2,20,1,[1. 1. 1.],0,1.0,0.8662359852029304,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,3,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3022733184484663,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
4,4,76,1,[1. 1. 1.],0,1.0,0.7694087444595096,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,5,32,1,[1. 1. 1.],0,1.0,0.7626358955321837,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,6,72,1,[1. 1. 1.],0,1.0,0.9079961805546125,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,7,61,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.273601499541877,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
8,7,60,1,[1. 1. 1.],0,1.0,0.8232474108134106,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
9,7,21,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.2639682730529311,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
10,0,40,1,[1. 1. 1.],0,1.0,0.8503609693631093,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
11,1,4,1,[1. 1. 1.],0,1.0,0.8202826177788685,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
12,2,12,1,[1. 1. 1.],0,1.0,0.7832886407961496,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
13,3,62,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3967478358666653,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
14,4,12,1,[1. 1. 1.],0,1.0,0.8126628583886324,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
15,5,8,1,[1. 1. 1.],0,1.0,0.8380869209180013,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
16,6,52,1,[1. 1. 1.],0,1.0,0.8174021586488787,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
17,7,5,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.24515762472025898,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
18,7,61,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.273601499541877,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
19,7,57,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.2770055969985321,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
20,0,72,1,[1. 1. 1.],0,1.0,0.9373703981470953,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
21,1,64,1,[1. 1. 1.],0,1.0,0.8904960021144497,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
22,2,52,1,[1. 1. 1.],0,1.0,0.8174021586488787,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
23,3,26,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3433327049821874,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
24,4,8,1,[1. 1. 1.],0,1.0,0.8674611385104841,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
25,5,20,1,[1. 1. 1.],0,1.0,0.8662359852029304,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
26,6,24,1,[1. 1. 1.],0,1.0,0.7856796446316898,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
27,7,61,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.273601499541877,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
28,7,37,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.25217596657813923,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
29,7,61,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.273601499541877,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
30,0,20,1,[1. 1. 1.],0,1.0,0.8956102027954133,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
